trial,subject,condition,tsec,arousal,arousal_mean,above,above_adaptive,sustained,rate,excess_fixed,excess_adaptive,event,a100,am100,strat
3_2,3,1,25,96.01814189390282,97.29941398548621,1.0,1.0,1.0,0.830930876981672,67.15402754617914,60.17642950236244,0.0,0.9601814189390282,0.9729941398548622,<30
3_2,3,1,30,98.82092590992919,99.25057229904574,1.0,1.0,1.0,0.3564089625070576,58.680125776692094,71.69590158885373,1.0,0.9882092590992919,0.9925057229904575,30-40
3_21,3,1,0,0.0,32.709152185169486,0.0,0.0,1.0,12.772865312808335,0.0,0.0,0.0,0.0,0.3270915218516949,<30
3_21,3,1,5,46.01827832869105,50.44635260571599,1.0,1.0,1.0,1.2844815796052713,36.15472500428413,18.39741963602922,0.0,0.46018278328691054,0.5044635260571598,<30
3_21,3,1,10,85.33058668840128,90.40242771969842,1.0,1.0,1.0,6.936200426027679,72.24627816721411,54.85378094164784,0.0,0.8533058668840128,0.9040242771969842,<30
3_21,3,1,15,87.11137202228636,68.54871336976194,1.0,1.0,1.0,-6.7761466212169115,70.48760801905792,57.28259412079858,0.0,0.8711137202228636,0.6854871336976194,<30
3_21,3,1,20,42.569279174540796,57.64227058362218,1.0,1.0,1.0,0.7227869750035748,21.114878382976755,13.461827511336207,0.0,0.425692791745408,0.5764227058362218,<30
3_21,3,1,25,50.668444489825625,29.136013517306463,1.0,1.0,1.0,-8.272023971352535,21.804330142101943,22.50869788047085,0.0,0.5066844448982563,0.29136013517306464,<30
3_21,3,1,30,13.02658739410823,12.808380415889127,0.0,0.0,0.0,-1.420144846437545,0.0,0.0,0.0,0.1302658739410823,0.12808380415889128,30-40
3_21,3,1,35,23.5198373019738,25.6282376799525,0.0,0.0,0.0,2.6970457607297904,0.0,0.0,0.0,0.235198373019738,0.256282376799525,30-40
3_21,3,1,40,26.69270161109204,25.17243924385515,0.0,0.0,0.0,-0.3749766277220502,0.0,0.0,0.0,0.2669270161109204,0.2517243924385515,30-40
3_21,3,1,45,21.834025175134222,42.90642991131761,0.0,0.0,0.0,5.836281271164498,0.0,0.0,0.0,0.21834025175134222,0.4290642991131761,41-52
3_21,3,1,50,83.15538178663994,85.11960302909742,0.0,0.0,0.0,6.424155309808365,0.0,0.0,0.0,0.8315538178663994,0.8511960302909742,41-52
3_21,3,1,55,93.54899519315387,95.60588871596626,0.0,0.0,0.0,2.1473896167178492,0.0,0.0,0.0,0.9354899519315387,0.9560588871596626,53+
