subject,difficulty,condition,duration_s,final,peak,mean
13,1,3,35.20703125,12.3311439734523,46.10031276367966,9.552113630512475
13,0,3,77.625,97.1187567334036,99.7381793200311,32.39005663479505
13,1,2,39.16015625,40.383217723851885,48.935689179507655,5.8831281878082216
14,0,3,63.5078125,74.43107626265007,96.53478557209958,39.221130072347265
14,1,2,49.375,43.62801585879345,84.75131303297411,50.62967011247263
14,0,3,79.61328125,22.544167169937413,96.88940664462524,44.942111896232454
14,1,1,33.02734375,81.31291897372013,92.77073125421965,40.74291742905581
14,0,1,61.38671875,87.99182524338612,90.63155900885154,30.69356011640876
14,1,2,45.1171875,68.17583416146533,96.40415986511033,45.594831357043184
14,0,1,65.62109375,69.44442009472726,95.72672893897291,40.878311463948236
14,1,2,35.1171875,23.477570301298147,83.9817559229311,44.79999477807741
14,0,3,43.39453125,39.068849669687516,91.99050841086958,37.26196016437935
14,1,2,49.2578125,22.553931269677225,99.33897081982,52.46772617400561
14,0,3,67.6796875,73.10121932862812,93.920354916884,37.58850770393441
14,1,1,47.43359375,24.769762532608723,89.68159638721662,49.850233068051935
14,0,1,61.3828125,78.42643985136571,98.98467997189036,49.360941531097176
14,1,2,35.08203125,70.67011943523391,99.45044617083671,50.07290442860768
14,0,3,89.65234375,22.765841278443975,90.92508056159764,27.944136057228416
14,1,3,31.05078125,93.30670825125951,96.61152540303102,29.996350441725916
14,0,2,63.59765625,25.564319758579643,96.44719082773852,47.63589136888957
