trial,subject,k,arousal,event,excess_fixed,excess_adaptive,above,above_adaptive,sustained,rate,tsec,a100,strat,late
12_1,12,16,61.23800405321035,0.0,13.5772850323726,17.06485056249616,1.0,1.0,1.0,13.922559086914317,32,0.6123800405321035,30-34,1.0
12_1,12,17,76.47245254325367,0.0,21.78035847997141,21.70451668623152,1.0,1.0,1.0,8.914604003749886,34,0.7647245254325367,30-34,1.0
12_1,12,18,59.0919562649346,0.0,4.654792653646062,5.759461015801811,1.0,1.0,1.0,-4.0039209513261325,36,0.590919562649346,35-40,1.0
12_1,12,19,38.36620726832058,0.0,0.0,0.0,0.0,0.0,0.0,-11.867769303772285,38,0.3836620726832058,35-40,1.0
12_1,12,20,35.744898435580694,0.0,0.0,0.0,0.0,0.0,0.0,-2.121708427305581,40,0.35744898435580696,35-40,1.0
12_1,12,21,28.64635277377809,0.0,0.0,0.0,0.0,0.0,0.0,-3.815268964548575,42,0.2864635277377809,41-46,1.0
12_1,12,22,19.71728563058968,0.0,0.0,0.0,0.0,0.0,0.0,-3.4376303023938903,44,0.1971728563058968,41-46,1.0
12_1,12,23,13.14457486489724,0.0,0.0,0.0,0.0,0.0,0.0,-4.549063292263263,46,0.1314457486489724,41-46,1.0
12_1,12,24,38.81441165516544,0.0,0.0,0.0,0.0,0.0,0.0,8.796640040788589,48,0.38814411655165443,47-52,1.0
12_1,12,25,23.731253942843132,0.0,0.0,0.0,0.0,0.0,0.0,-1.266433893073796,50,0.23731253942843133,47-52,1.0
12_1,12,26,16.88482392754654,0.0,0.0,0.0,0.0,0.0,0.0,-5.7118122494056935,52,0.1688482392754654,47-52,1.0
12_1,12,27,56.29718232884013,0.0,0.0,0.0,0.0,0.0,0.0,13.385489096662543,54,0.5629718232884013,53-58,1.0
12_1,12,28,64.19543494325967,0.0,0.0,0.0,0.0,0.0,0.0,10.814822112703853,56,0.6419543494325967,53-58,1.0
12_1,12,29,46.52405366404291,0.0,0.0,0.0,0.0,0.0,0.0,-7.668999381661775,58,0.4652405366404291,53-58,1.0
12_1,12,30,27.691309674503383,0.0,0.0,0.0,0.0,0.0,0.0,-9.153321957731432,60,0.27691309674503384,59+,1.0
12_1,12,31,48.5603047661603,0.0,0.0,0.0,0.0,0.0,0.0,4.75017573363401,62,0.485603047661603,59+,1.0
12_1,12,32,68.35697126283732,0.0,0.0,0.0,0.0,0.0,0.0,10.490254653402165,64,0.6835697126283732,59+,1.0
12_1,12,33,90.53165940221035,0.0,0.0,0.0,0.0,0.0,0.0,11.2957775348086,66,0.9053165940221035,59+,1.0
12_1,12,34,98.0470763760986,0.0,0.0,0.0,0.0,0.0,0.0,5.847390051769433,68,0.980470763760986,59+,1.0
12_1,12,35,98.28725866848862,0.0,0.0,0.0,0.0,0.0,0.0,0.5896526167981264,70,0.9828725866848862,59+,1.0
12_1,12,36,99.74037449351036,1.0,0.0,0.0,0.0,0.0,0.0,0.6076510222011725,72,0.9974037449351036,59+,1.0
12_11,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,<30,0.0
12_11,12,1,0.0011468574371605587,0.0,0.0,0.0,0.0,0.0,0.0,0.0003822858123868529,2,1.1468574371605586e-05,<30,0.0
