subject,difficulty,condition,arousal,remaining,total,bin
12,1,3,71.70585723562964,33.06640625,63.06640625,"(60, 100]"
13,0,1,9.062033881079273,19.48046875,49.48046875,"(0, 15]"
13,0,1,2.178536338403,19.609375,49.609375,"(0, 15]"
13,0,3,0.8542632851413476,7.4921875,37.4921875,"(0, 15]"
13,0,1,22.173724817834945,13.62890625,43.62890625,"(15, 30]"
13,0,2,50.8175441469618,33.98046875,63.98046875,"(45, 60]"
13,1,3,12.119025209601048,9.25390625,39.25390625,"(0, 15]"
13,0,3,9.35443782628929,33.76953125,63.76953125,"(0, 15]"
13,1,1,43.26870240382382,5.1171875,35.1171875,"(30, 45]"
13,0,2,3.3723994582705976,32.0078125,62.0078125,"(0, 15]"
13,0,2,7.647469169938449,13.375,43.375,"(0, 15]"
13,1,3,48.92709273736445,1.12890625,31.12890625,"(45, 60]"
13,0,1,3.058281629616107,35.7109375,65.7109375,"(0, 15]"
13,1,3,27.274536028484796,5.390625,35.390625,"(15, 30]"
13,0,2,5.518932107843056,47.41796875,77.41796875,"(0, 15]"
13,1,1,7.515649262006751,1.3671875,31.3671875,"(0, 15]"
13,0,1,7.46580034268541,41.9765625,71.9765625,"(0, 15]"
13,1,3,31.227626023129137,5.20703125,35.20703125,"(30, 45]"
13,0,3,7.801635450582682,47.625,77.625,"(0, 15]"
13,1,2,5.441848902641452,9.16015625,39.16015625,"(0, 15]"
14,0,3,17.622743905041748,33.5078125,63.5078125,"(15, 30]"
14,1,2,52.654781670875096,19.375,49.375,"(45, 60]"
14,0,3,66.94890836279103,49.61328125,79.61328125,"(60, 100]"
14,1,1,75.20948030644442,3.02734375,33.02734375,"(60, 100]"
14,0,1,0.5419269721146003,31.38671875,61.38671875,"(0, 15]"
14,1,2,86.50727405957666,15.1171875,45.1171875,"(60, 100]"
14,0,1,75.00103927793093,35.62109375,65.62109375,"(60, 100]"
14,1,2,58.54235162644238,5.1171875,35.1171875,"(45, 60]"
14,0,3,64.93599492808346,13.39453125,43.39453125,"(60, 100]"
14,1,2,82.6047721342874,19.2578125,49.2578125,"(60, 100]"
14,0,3,64.85408180198164,37.6796875,67.6796875,"(60, 100]"
14,1,1,36.32209859416026,17.43359375,47.43359375,"(30, 45]"
14,0,1,66.86296166313682,31.3828125,61.3828125,"(60, 100]"
14,1,2,89.2969906489441,5.08203125,35.08203125,"(60, 100]"
14,0,3,8.750729748732073,59.65234375,89.65234375,"(0, 15]"
14,1,3,92.94379266162063,1.05078125,31.05078125,"(60, 100]"
14,0,2,33.406154333564906,33.59765625,63.59765625,"(30, 45]"
14,1,1,58.27237272523073,1.046875,31.046875,"(45, 60]"
14,0,2,48.211119059723515,43.73828125,73.73828125,"(45, 60]"
14,1,3,24.595505546399988,25.26953125,55.26953125,"(15, 30]"
14,0,1,66.88365355360179,35.5703125,65.5703125,"(60, 100]"
14,1,3,93.1672646625735,3.1328125,33.1328125,"(60, 100]"
14,0,1,1.1226939700181249,45.515625,75.515625,"(0, 15]"
15,1,1,34.99515929706668,29.1015625,59.1015625,"(30, 45]"
15,0,3,30.22808021115901,23.1953125,53.1953125,"(30, 45]"
15,1,2,53.29229604594245,13.09375,43.09375,"(45, 60]"
15,0,3,33.08827618987554,29.390625,59.390625,"(30, 45]"
15,1,2,38.144908403280866,7.09375,37.09375,"(30, 45]"
15,0,2,32.75379076452718,35.28515625,65.28515625,"(30, 45]"
