subject,condition,dur_s,pre_crash,baseline,rise
12,2,47.06640625,85.49262585531395,29.100126766631377,56.39249908868257
12,1,33.015625,64.8373673810486,10.372571734929943,54.46479564611865
12,1,37.01171875,37.293022646385,1.2179620821404138,36.07506056424458
12,1,38.99609375,66.03851353592431,3.115719376806076,62.92279415911823
12,1,63.0625,98.76983122635347,92.17334419554432,6.596487030809158
12,3,63.06640625,8.944784614027645,61.82629202633708,-52.88150741230943
13,2,25.36328125,43.88716987106918,9.545572614965907,34.34159725610328
13,3,39.25390625,21.965776456595243,7.621826534064863,14.343949922530381
13,1,35.1171875,29.56457011386549,5.472344574247985,24.092225539617505
13,1,29.390625,18.97642465112942,7.783127571948801,11.19329707918062
13,3,31.12890625,34.22304185485295,28.597642139209295,5.625399715643656
13,3,35.390625,20.664614573532294,27.41945519570685,-6.754840622174555
13,1,31.3671875,12.880941840946372,3.3954052710741736,9.485536569872199
13,3,35.20703125,25.189495374958796,6.601687473138043,18.587807901820753
13,2,39.16015625,16.43641882212889,3.6805676666585647,12.755851155470324
14,2,49.375,56.54489049258884,46.050917015191736,10.493973477397105
14,1,33.02734375,73.52797993710479,42.45271982291294,31.07526011419185
14,2,45.1171875,69.67233838317244,86.3801786315028,-16.707840248330356
14,2,35.1171875,44.43908380226485,64.68764387367814,-20.248560071413294
14,2,49.2578125,15.039153747921414,32.01038270081061,-16.971228952889195
14,1,47.43359375,45.690896161292414,67.71260463759577,-22.02170847630336
14,2,35.08203125,85.50830186703614,43.71178498373789,41.796516883298246
14,3,31.05078125,84.17801025842434,5.912396224522455,78.26561403390188
14,1,31.046875,49.182158740272044,61.53629622379026,-12.354137483518215
14,3,55.26953125,67.2108016223599,84.83018008185431,-17.619378459494413
14,3,33.1328125,92.53458431479626,33.8567867294884,58.677797585307864
14,2,21.16015625,66.71147013510812,79.93033778644022,-13.218867651332104
15,1,59.1015625,55.53787997152508,41.27070410793139,14.267175863593692
15,2,43.09375,21.00767108358579,46.21938261914458,-25.21171153555879
15,2,37.09375,63.68069854032724,21.65769511346313,42.02300342686411
15,3,35.0625,25.504206594536345,49.41429527176474,-23.910088677228398
15,3,67.08984375,30.737464033332014,36.201202856436076,-5.4637388231040624
15,1,57.13671875,44.7300138668121,45.956087556652534,-1.2260736898404332
15,2,63.171875,44.310727861826685,14.508438225067717,29.802289636758967
15,3,67.05859375,19.703869100970984,23.651953947943063,-3.9480848469720797
15,1,35.09765625,45.75881739595346,16.601463822085663,29.157353573867795
15,3,43.1171875,52.2414686673813,11.86211986295389,40.37934880442741
15,1,37.15234375,52.820182814056764,23.197699048693018,29.622483765363746
15,2,33.94140625,44.596249761726384,32.93253811340035,11.663711648326036
