subject,difficulty,condition,size,arousal,t_s
4,0,3,small,93.83290480940192,65.3203125
4,1,2,large,1.8921918827469901,2.9921875
4,1,2,large,1.3275229390301462,4.9921875
4,1,2,large,3.8763918198101943,6.9921875
4,1,2,large,10.627974616830489,8.98046875
4,1,2,large,3.951079601900371,10.9921875
4,1,2,large,1.9447633140668388,12.9921875
4,1,2,large,1.460113208251412,14.9921875
4,1,2,large,3.384377355214618,16.9921875
4,1,2,large,11.332936625342398,18.9921875
4,1,2,large,3.4515256367150333,21.00390625
4,1,2,large,6.60219165920858,23.00390625
4,1,2,large,50.070214325188786,25.00390625
4,1,2,large,40.13360246592032,27.00390625
4,1,2,large,13.216083598703513,29.00390625
4,1,2,medium,8.85356100032307,31.00390625
4,1,2,medium,24.610625206442005,33.00390625
4,1,2,medium,19.635041474860373,35.015625
4,1,2,medium,63.47128100097536,37.01953125
4,1,2,medium,57.17024866612581,39.015625
4,1,2,medium,88.85990702459718,41.02734375
4,1,2,medium,98.30297837134492,43.02734375
4,0,1,large,0.7427097129778255,2.9921875
4,0,1,large,1.2525255273012308,4.9921875
4,0,1,large,1.3988007000396006,6.9921875
4,0,1,large,1.2976531345771698,8.9921875
4,0,1,large,1.3844250651896726,10.9921875
4,0,1,large,1.4510015452674658,12.99609375
4,0,1,large,1.5179892201618537,14.9921875
4,0,1,large,0.9229301247824435,16.9921875
4,0,1,large,1.0452129616041785,18.9921875
4,0,1,large,1.9779104835603012,21.015625
4,0,1,large,1.056363383796717,23.03125
4,0,1,large,0.36150600952685874,25.02734375
4,0,1,large,0.696089459254931,27.03125
4,0,1,large,1.4558869227030258,29.03125
4,0,1,medium,3.4182909078342694,31.0546875
4,0,1,medium,4.593437739635036,33.0546875
4,0,1,medium,10.737278791471981,35.0703125
4,0,1,medium,13.26499441607882,37.0703125
4,0,1,medium,33.59405410853901,39.08203125
4,0,1,medium,37.60501613787829,41.08203125
4,0,1,medium,39.96902080906192,43.08203125
4,0,1,medium,78.6020539546669,45.09375
4,0,1,medium,69.6848072620584,47.09375
4,0,1,medium,62.17076511974665,49.1328125
4,0,1,medium,79.31133540888679,51.1328125
4,0,1,medium,79.83145747048273,53.1328125
4,0,1,medium,67.78615851841053,55.1484375
4,0,1,medium,40.17663190409776,57.1484375
4,0,1,medium,60.25928663364668,59.1484375
4,0,1,small,43.69622324858233,61.16015625
4,0,1,small,32.41265947084147,63.171875
4,0,1,small,76.91310672092081,65.1875
4,0,1,small,93.035572332198,67.19921875
4,0,1,small,70.84480268582934,69.19921875
4,0,1,small,93.09765075297811,71.21484375
4,1,1,large,0.591546423728406,3.00390625
4,1,1,large,0.6486091392075699,5.00390625
4,1,1,large,1.0861599783879397,7.00390625
4,1,1,large,2.9853524051558638,9.00390625
4,1,1,large,2.5009178888343913,11.00390625
4,1,1,large,2.4308608808164034,13.00390625
4,1,1,large,2.230646232583794,15.00390625
4,1,1,large,1.7786936267255595,17.00390625
4,1,1,large,4.090780431710934,19.00390625
4,1,1,large,15.472566968213098,21.00390625
4,1,1,large,12.896779357417307,23.00390625
4,1,1,large,10.013275968656538,25.00390625
4,1,1,large,12.001381904656817,27.00390625
4,1,1,large,4.980084274468825,29.0078125
4,1,1,medium,13.79310364345304,31.0
4,1,1,medium,21.158543087735897,33.015625
4,1,1,medium,49.993429722919444,35.015625
4,1,1,medium,61.86717228012216,37.015625
4,1,1,medium,85.64749242836498,39.015625
4,1,1,medium,97.71082484059254,41.015625
4,0,3,large,1.722172433737468,2.9921875
4,0,3,large,1.8512078671332373,4.9921875
4,0,3,large,1.673576203957892,6.9921875
4,0,3,large,1.2152365060178236,8.9921875
4,0,3,large,1.2182054223472325,10.9921875
4,0,3,large,1.5881931645828362,12.9921875
4,0,3,large,1.6823904171573947,14.9921875
4,0,3,large,1.6605995108096447,16.9921875
4,0,3,large,1.6906849421637615,19.00390625
4,0,3,large,3.149319823820192,21.03125
4,0,3,large,2.96596669664914,23.03125
4,0,3,large,1.248092625461681,25.04296875
4,0,3,large,2.910715501495572,27.04296875
4,0,3,large,2.6364013066289598,29.0546875
4,0,3,medium,9.68809361420715,31.08203125
4,0,3,medium,10.025540652156685,33.08203125
4,0,3,medium,17.38586686948546,35.109375
4,0,3,medium,28.387085917708614,37.109375
4,0,3,medium,45.57660535607036,39.109375
4,0,3,medium,49.299937325626075,41.12109375
4,0,3,medium,75.18048106347646,43.12109375
4,0,3,medium,87.43658147298126,45.12890625
4,0,3,medium,83.14441255280781,47.13671875
4,0,3,medium,92.50498609638093,49.1640625
4,0,3,medium,87.84187618957066,51.16015625
4,0,3,medium,62.67342979667605,53.17578125
4,0,3,medium,54.0383280609761,55.1875
4,0,3,medium,46.808507995356344,57.1875
4,0,3,medium,84.18149129270982,59.1875
4,0,3,small,88.13654578672038,61.19921875
4,0,3,small,95.99627363538976,63.2265625
4,1,2,large,0.7941310113650958,3.00390625
4,1,2,large,1.3741181103173163,5.00390625
4,1,2,large,2.6777676958180563,7.00390625
4,1,2,large,6.414185062859421,9.00390625
4,1,2,large,3.8283115456206005,11.00390625
4,1,2,large,2.5223796032943424,13.00390625
4,1,2,large,1.7381102802475834,15.00390625
4,1,2,large,1.781463379040646,17.00390625
4,1,2,large,9.05662755192471,19.0
4,1,2,large,24.87789608036499,21.00390625
4,1,2,large,20.416314171173205,23.0
4,1,2,large,8.524281708339934,25.015625
4,1,2,large,2.424628310056087,27.015625
4,1,2,large,0.9265453647751258,29.015625
4,1,2,medium,8.412596458223007,31.015625
4,1,2,medium,20.30480939774688,33.015625
4,1,2,medium,64.08898227190153,35.015625
4,1,2,medium,89.00659808161248,37.02734375
4,1,2,medium,93.19096432906358,39.02734375
4,0,3,large,0.14900272897927117,3.01171875
4,0,3,large,0.10700935476677749,5.00390625
4,0,3,large,0.8094070951480447,7.00390625
4,0,3,large,0.7917086675944858,9.00390625
4,0,3,large,0.549996910221184,11.00390625
4,0,3,large,1.1710004116136183,13.00390625
4,0,3,large,1.1506796944124242,15.00390625
4,0,3,large,1.4608231425166147,17.00390625
4,0,3,large,2.374716454111276,19.015625
4,0,3,large,2.9671447735537013,21.04296875
4,0,3,large,0.9140604961628624,23.04296875
4,0,3,large,1.1120908215603662,25.04296875
4,0,3,large,6.025479072536344,27.04296875
4,0,3,large,12.76670960564737,29.0546875
4,0,3,medium,13.53158308328906,31.0703125
4,0,3,medium,25.198123115630217,33.0703125
4,0,3,medium,31.599977270701817,35.09375
4,0,3,medium,76.38290996002954,37.109375
4,0,3,medium,74.39545708509638,39.109375
4,0,3,medium,87.84410920513821,41.12109375
4,0,3,medium,96.16145685074088,43.12109375
4,0,3,medium,95.79660587078374,45.12109375
4,0,3,medium,81.88066433343158,47.12109375
4,0,3,medium,93.62169805045242,49.17578125
4,1,2,large,1.3174013349033298,2.99609375
4,1,2,large,1.376338556157772,4.99609375
4,1,2,large,3.553308910376614,6.99609375
4,1,2,large,6.899847168217359,8.9921875
4,1,2,large,3.7094024451426946,10.9921875
4,1,2,large,2.626270038788361,12.9921875
4,1,2,large,2.593373952396597,14.9921875
4,1,2,large,4.774280357587241,16.9921875
4,1,2,large,7.733340001475013,18.9921875
4,1,2,large,8.554918902471773,20.99609375
4,1,2,large,6.402712170942499,23.00390625
4,1,2,large,4.250516491566184,25.0078125
4,1,2,large,3.3674770734673034,27.00390625
4,1,2,large,4.247919695847911,29.00390625
4,1,2,medium,4.027328868985638,31.00390625
4,1,2,medium,4.226938747909864,33.00390625
4,1,2,medium,19.91041710916564,35.01953125
4,1,2,medium,56.79027767175702,37.01953125
4,1,2,medium,71.23633625715891,39.01953125
4,1,2,medium,40.34846398887011,41.03125
4,1,2,medium,17.37278441745373,43.03125
4,1,2,medium,50.07198272607043,45.03125
4,1,2,medium,71.00975613249919,47.03125
4,1,2,medium,58.909701423670676,49.03125
4,1,2,medium,52.39864489083264,51.03125
4,1,2,medium,79.49866121967,53.04296875
4,1,2,medium,91.32678679678212,55.04296875
4,1,2,medium,86.24032705942784,57.04296875
4,1,2,medium,83.91614695167834,59.046875
4,1,2,small,75.65373797023206,61.05859375
4,0,1,large,1.6745259618691675,2.9921875
4,0,1,large,1.2291118863229629,4.9921875
4,0,1,large,0.8923776074582739,6.9921875
4,0,1,large,1.375383293304078,8.9921875
4,0,1,large,1.8615243070458423,10.9921875
4,0,1,large,2.21684451455089,12.9921875
4,0,1,large,2.5098093555921084,14.9921875
4,0,1,large,2.660946315306564,16.9921875
4,0,1,large,12.350713757348892,19.00390625
4,0,1,large,35.21991315929142,21.04296875
4,0,1,large,24.045636736468918,23.04296875
